axis,type,start,end,duration,z_mean,p_value
axis_7,ALERT,13020.0,13020.0,5.673,2.1812113315709514,0.014583894539310083
axis_7,ALERT,17520.0,17520.0,5.673,2.3160064479307256,0.01027895831805481
axis_7,ALERT,18000.0,18000.0,5.673,2.431682055895121,0.007514446678402509
axis_7,ALERT,23160.0,23160.0,5.673,2.081222189471887,0.018706786708987844
axis_7,ALERT,27720.0,27720.0,5.673,1.7573298579743024,0.039430800672167976
axis_8,ALERT,7440.0,7440.0,5.673,1.9323343046577266,0.026659128448125458
axis_8,ALERT,16140.0,16140.0,5.673,2.2578486130584605,0.011977549626128181
axis_8,ALERT,17160.0,17160.0,7.564,1.880180736251267,0.030041725040737766
axis_8,ALERT,17340.0,17340.0,5.673,1.8944107848516678,0.02908525301280296
axis_8,ALERT,17700.0,17700.0,5.673,1.9850852490369988,0.023567493833606457
axis_8,ALERT,18120.0,18120.0,5.673,3.02645301117258,0.0012372063839050096
axis_8,ALERT,20220.0,20220.0,5.673,1.9354853634506057,0.02646538152696587
axis_8,ALERT,24600.0,24600.0,5.673,2.127692282720044,0.016681302594449
axis_8,ALERT,25980.0,25980.0,5.673,2.1647641699892177,0.0152028750124793
axis_8,ALERT,31980.0,31980.0,5.673,2.125619355112194,0.016767483341601386
axis_8,ALERT,33840.0,33840.0,5.673,2.3207508426492387,0.010150147482203775
axis_8,ALERT,35640.0,35640.0,5.673,2.5126791745217436,0.005990912179715258
